TaskID,TaskType,TestCondition,MethodType,TaskCompletionRate,DeploymentTime(minutes),ErrorRecoveryRate,EnergyConsumption(watts),OperationAdjustmentCount,EngineerSkillLevel
1,SimplePickAndPlace,Standard,TraditionalPreprogrammed,0.98,120,0.10,38,12,Professional
2,SimplePickAndPlace,Standard,LLM-Based,0.94,2,0.85,44,0,Junior
3,SimplePickAndPlace,PositionOffset,TraditionalPreprogrammed,0.35,145,0.05,38,18,Professional
4,SimplePickAndPlace,PositionOffset,LLM-Based,0.92,2,0.82,45,0,Junior
5,SimplePickAndPlace,LightingVariation,TraditionalPreprogrammed,0.45,138,0.08,38,15,Professional
6,SimplePickAndPlace,LightingVariation,LLM-Based,0.90,2,0.80,46,0,Junior

7,ComplexAssembly,Standard,TraditionalPreprogrammed,0.97,185,0.15,42,24,Professional
8,ComplexAssembly,Standard,LLM-Based,0.88,5,0.75,48,0,Intermediate
9,ComplexAssembly,PositionOffset,TraditionalPreprogrammed,0.25,210,0.08,42,32,Professional
10,ComplexAssembly,PositionOffset,LLM-Based,0.82,5,0.72,49,0,Intermediate
11,ComplexAssembly,LightingVariation,TraditionalPreprogrammed,0.30,198,0.10,42,28,Professional
12,ComplexAssembly,LightingVariation,LLM-Based,0.80,5,0.70,50,0,Intermediate

13,DynamicSceneAdaptation,ObjectMovement,TraditionalPreprogrammed,0.15,240,0.05,40,38,Professional
14,DynamicSceneAdaptation,ObjectMovement,LLM-Based,0.84,3,0.78,46,0,Junior
15,DynamicSceneAdaptation,NewObjectIntroduction,TraditionalPreprogrammed,0.10,265,0.02,40,45,Professional
16,DynamicSceneAdaptation,NewObjectIntroduction,LLM-Based,0.78,3,0.72,47,0,Junior
17,DynamicSceneAdaptation,ObstacleAppearance,TraditionalPreprogrammed,0.08,255,0.01,40,42,Professional
18,DynamicSceneAdaptation,ObstacleAppearance,LLM-Based,0.76,3,0.70,47,0,Junior

19,MultiObjectOperation,SequentialOperation,TraditionalPreprogrammed,0.95,175,0.12,41,26,Professional
20,MultiObjectOperation,SequentialOperation,LLM-Based,0.86,4,0.76,47,0,Intermediate
21,MultiObjectOperation,ConditionalOperation,TraditionalPreprogrammed,0.88,215,0.08,41,34,Professional
22,MultiObjectOperation,ConditionalOperation,LLM-Based,0.82,4,0.72,48,0,Intermediate
23,MultiObjectOperation,LayoutChange,TraditionalPreprogrammed,0.30,235,0.06,41,40,Professional
24,MultiObjectOperation,LayoutChange,LLM-Based,0.80,4,0.70,48,0,Intermediate

25,InstructionErrorRecovery,GrammaticalError,TraditionalPreprogrammed,0.10,N/A,0.00,38,0,Professional
26,InstructionErrorRecovery,GrammaticalError,LLM-Based,0.85,2,0.92,45,0,Junior
27,InstructionErrorRecovery,SemanticContradiction,TraditionalPreprogrammed,0.05,N/A,0.00,38,0,Professional
28,InstructionErrorRecovery,SemanticContradiction,LLM-Based,0.78,2,0.86,45,0,Junior
29,InstructionErrorRecovery,IncompleteInstruction,TraditionalPreprogrammed,0.08,N/A,0.00,38,0,Professional
30,InstructionErrorRecovery,IncompleteInstruction,LLM-Based,0.82,2,0.90,45,0,Junior
