任务ID,任务类型,语音处理延迟(ms),视觉处理延迟(ms),决策生成时间(ms),运动规划时间(ms),执行时间(ms),总延迟(ms),工业实时标准满足度
1,简单拾取,105,N/A,328,96,125,654,是
2,简单拾取,112,N/A,342,102,130,686,是
3,简单拾取,98,N/A,315,94,118,625,是
4,简单拾取,108,N/A,335,99,128,670,是
5,简单拾取,115,N/A,352,105,135,707,是
6,简单拾取,102,N/A,322,97,122,643,是
7,简单拾取,110,N/A,338,100,130,678,是
8,简单拾取,118,N/A,362,108,138,726,是
9,简单拾取,104,N/A,325,98,125,652,是
10,简单拾取,107,N/A,332,100,129,668,是

11,视觉引导拾取,112,145,352,106,132,847,是
12,视觉引导拾取,118,152,368,112,138,888,是
13,视觉引导拾取,105,138,342,102,128,815,是
14,视觉引导拾取,115,149,362,109,135,870,是
15,视觉引导拾取,122,158,375,115,142,912,是
16,视觉引导拾取,108,142,348,105,130,833,是
17,视觉引导拾取,117,151,365,110,136,879,是
18,视觉引导拾取,125,162,382,118,145,932,是
19,视觉引导拾取,110,145,355,107,132,849,是
20,视觉引导拾取,114,148,358,108,134,862,是

21,多步骤任务,125,155,392,118,165,955,是
22,多步骤任务,132,162,408,125,175,1002,否
23,多步骤任务,118,148,376,114,158,914,是
24,多步骤任务,128,158,395,120,168,969,是
25,多步骤任务,135,168,415,128,178,1024,否
26,多步骤任务,122,152,385,116,162,937,是
27,多步骤任务,130,160,402,122,172,986,是
28,多步骤任务,138,172,422,132,182,1046,否
29,多步骤任务,124,154,388,118,165,949,是
30,多步骤任务,127,156,392,120,168,963,是

31,动态场景适应,135,165,425,135,175,1035,否
32,动态场景适应,142,172,442,142,185,1083,否
33,动态场景适应,128,158,408,128,168,990,是
34,动态场景适应,138,168,432,138,178,1054,否
35,动态场景适应,145,178,450,145,188,1106,否
36,动态场景适应,132,162,418,132,172,1016,否
37,动态场景适应,140,170,435,140,182,1067,否
38,动态场景适应,148,182,458,148,192,1128,否
39,动态场景适应,134,164,422,134,174,1028,否
40,动态场景适应,137,167,428,137,178,1047,否

41,优化后简单拾取,92,N/A,268,85,112,557,是
42,优化后视觉引导拾取,95,118,285,90,118,706,是
43,优化后多步骤任务,105,125,308,102,145,785,是
44,优化后动态场景适应,112,132,328,110,152,834,是
45,优化后复杂装配,118,138,345,115,162,878,是
