测试ID,噪声类型,初始准确率,加入噪声后准确率,性能下降百分比,恢复机制成功率,适应周期(次),关键影响因素
1,口误,0.92,0.85,7.6,0.88,2,语音识别错误
2,语法错误,0.92,0.70,23.9,0.82,3,语义解析困难
3,方言影响,0.92,0.87,5.4,0.90,1,语音识别适应性
4,背景噪音,0.92,0.78,15.2,0.85,2,信噪比下降
5,指令歧义,0.92,0.75,18.5,0.89,2,上下文推理不足
6,交叉引用错误,0.92,0.72,21.7,0.80,3,上下文记忆限制
7,物体遮挡,0.92,0.76,17.4,0.78,4,视觉感知局限
8,光照突变,0.92,0.82,10.9,0.86,3,摄像头动态范围
9,物体反射,0.92,0.79,14.1,0.83,3,表面特性干扰

10,多重口误,0.92,0.78,15.2,0.82,3,语音识别错误累积
11,复合语法错误,0.92,0.62,32.6,0.76,4,语义解析失败
12,方言+背景噪音,0.92,0.72,21.7,0.80,3,多因素干扰
13,指令歧义+交叉引用,0.92,0.65,29.3,0.75,4,上下文推理崩溃
14,物体遮挡+光照突变,0.92,0.68,26.1,0.72,5,视觉系统限制

15,口误+纠正,0.92,0.85,7.6,0.95,1,用户反馈增强
16,语法错误+示例,0.92,0.70,23.9,0.88,2,示例学习能力
17,方言+重复指令,0.92,0.87,5.4,0.98,1,多次尝试学习
18,背景噪音+特征增强,0.92,0.78,15.2,0.92,1,噪声过滤技术
19,指令歧义+澄清,0.92,0.75,18.5,0.96,1,主动澄清机制
20,遮挡+多角度视图,0.92,0.76,17.4,0.90,2,多视角整合

21,GPT-4o语法错误适应性,0.92,0.78,15.2,0.86,2,预训练语言理解
22,Claude-3语法错误适应性,0.92,0.75,18.5,0.84,2,语言模型差异
23,Gemini-1.5语法错误适应性,0.92,0.76,17.4,0.85,2,语言模型差异
24,Yi-Large语法错误适应性,0.92,0.72,21.7,0.80,3,语言模型差异
25,ERNIE-Bot语法错误适应性,0.92,0.74,19.6,0.82,3,语言模型差异

26,GPT-4o视觉噪声适应性,0.92,0.80,13.0,0.88,2,多模态融合能力
27,Claude-3视觉噪声适应性,0.92,0.76,17.4,0.85,3,多模态融合能力
28,Gemini-1.5视觉噪声适应性,0.92,0.82,10.9,0.90,2,多模态融合能力
29,Qwen-VL视觉噪声适应性,0.92,0.78,15.2,0.86,3,多模态融合能力

30,初学者使用错误模式,0.92,0.72,21.7,0.85,3,用户体验设计
31,专家使用错误模式,0.92,0.85,7.6,0.95,1,高级用户行为
32,连续错误恢复能力,0.92,0.68,26.1,0.78,4,系统容错能力
33,长时间运行稳定性(4小时),0.92,0.88,4.3,0.94,2,系统疲劳因素
34,长时间运行稳定性(8小时),0.92,0.84,8.7,0.90,3,系统疲劳因素
