参与者ID,背景,编程经验,系统类型,SUS评分,NASA-TLX心理负荷,学习时间(分钟),任务完成时间(分钟),错误次数,主观满意度,推荐意愿
1,工程师,是,传统预编程,72,68.5,45,12.5,2,6,7
2,工程师,是,基于LLM,86,42.2,15,5.8,1,8,9
3,工程师,是,传统预编程,70,70.2,48,13.2,3,6,6
4,工程师,是,基于LLM,85,43.5,16,6.0,1,8,9
5,工程师,是,传统预编程,75,65.8,42,11.8,2,7,7
6,工程师,是,基于LLM,88,40.8,14,5.5,0,9,10
7,工程师,是,传统预编程,68,72.5,50,14.0,4,5,6
8,工程师,是,基于LLM,87,41.5,15,5.7,1,8,9
9,工程师,是,传统预编程,71,69.8,46,12.8,3,6,7
10,工程师,是,基于LLM,89,39.2,13,5.2,0,9,10

11,技术人员,是,传统预编程,65,75.8,58,15.5,5,5,5
12,技术人员,是,基于LLM,84,45.2,18,6.5,2,8,8
13,技术人员,是,传统预编程,62,78.5,62,16.8,6,4,4
14,技术人员,是,基于LLM,82,47.5,20,7.0,2,7,8
15,技术人员,是,传统预编程,64,76.2,60,16.0,5,5,5
16,技术人员,是,基于LLM,85,44.8,17,6.2,1,8,9
17,技术人员,是,传统预编程,63,77.4,61,16.5,6,4,5
18,技术人员,是,基于LLM,83,46.5,19,6.8,2,8,8
19,技术人员,是,传统预编程,62,79.0,63,17.0,7,4,4
20,技术人员,是,基于LLM,84,45.5,18,6.5,1,8,9

21,操作员,否,传统预编程,48,82.5,90,失败,12,2,2
22,操作员,否,基于LLM,86,38.5,12,5.0,1,9,10
23,操作员,否,传统预编程,50,80.8,85,失败,10,3,2
24,操作员,否,基于LLM,85,39.2,13,5.2,1,9,9
25,操作员,否,传统预编程,45,84.2,95,失败,14,2,1
26,操作员,否,基于LLM,87,37.8,11,4.8,0,9,10
27,操作员,否,传统预编程,52,79.5,80,22.5,9,3,3
28,操作员,否,基于LLM,84,40.5,14,5.5,2,8,9
29,操作员,否,传统预编程,47,83.0,92,失败,13,2,2
30,操作员,否,基于LLM,85,39.8,13,5.3,1,9,9

31,质检员,否,传统预编程,55,78.2,75,20.5,8,4,3
32,质检员,否,基于LLM,82,42.5,16,6.0,2,8,8
33,质检员,否,传统预编程,53,79.8,78,21.2,9,3,3
34,质检员,否,基于LLM,83,41.8,15,5.8,1,8,9
35,质检员,否,传统预编程,54,78.5,76,20.8,8,4,3
36,质检员,否,基于LLM,84,40.2,14,5.5,1,8,9
37,质检员,否,传统预编程,52,80.2,80,22.0,10,3,2
38,质检员,否,基于LLM,81,43.5,17,6.2,2,7,8
39,质检员,否,传统预编程,56,77.5,72,19.5,7,4,4
40,质检员,否,基于LLM,82,42.0,16,6.0,2,8,8

41,管理人员,否,传统预编程,45,85.0,98,失败,15,1,1
42,管理人员,否,基于LLM,80,45.5,20,7.0,3,7,8
43,管理人员,否,传统预编程,42,87.5,失败,失败,失败,1,0
44,管理人员,否,基于LLM,78,47.8,22,7.5,3,7,7
45,管理人员,否,传统预编程,44,86.0,100,失败,16,1,1
46,管理人员,否,基于LLM,79,46.5,21,7.2,3,7,8
47,管理人员,否,传统预编程,43,86.8,失败,失败,失败,1,0
48,管理人员,否,基于LLM,80,45.0,19,6.8,2,8,8
49,管理人员,否,传统预编程,46,84.5,96,失败,14,2,1
50,管理人员,否,基于LLM,81,44.2,18,6.5,2,8,8
