ParticipantID,Background,ProgrammingExperience,SystemType,SUSScore,NASATLXWorkload,LearningTime(minutes),TaskCompletionTime(minutes),ErrorCount,SubjectiveSatisfaction,RecommendationWillingness
1,Engineer,Yes,TraditionalPreprogrammed,72,68.5,45,12.5,2,6,7
2,Engineer,Yes,LLM-Based,86,42.2,15,5.8,1,8,9
3,Engineer,Yes,TraditionalPreprogrammed,70,70.2,48,13.2,3,6,6
4,Engineer,Yes,LLM-Based,85,43.5,16,6.0,1,8,9
5,Engineer,Yes,TraditionalPreprogrammed,75,65.8,42,11.8,2,7,7
6,Engineer,Yes,LLM-Based,88,40.8,14,5.5,0,9,10
7,Engineer,Yes,TraditionalPreprogrammed,68,72.5,50,14.0,4,5,6
8,Engineer,Yes,LLM-Based,87,41.5,15,5.7,1,8,9
9,Engineer,Yes,TraditionalPreprogrammed,71,69.8,46,12.8,3,6,7
10,Engineer,Yes,LLM-Based,89,39.2,13,5.2,0,9,10

11,Technician,Yes,TraditionalPreprogrammed,65,75.8,58,15.5,5,5,5
12,Technician,Yes,LLM-Based,84,45.2,18,6.5,2,8,8
13,Technician,Yes,TraditionalPreprogrammed,62,78.5,62,16.8,6,4,4
14,Technician,Yes,LLM-Based,82,47.5,20,7.0,2,7,8
15,Technician,Yes,TraditionalPreprogrammed,64,76.2,60,16.0,5,5,5
16,Technician,Yes,LLM-Based,85,44.8,17,6.2,1,8,9
17,Technician,Yes,TraditionalPreprogrammed,63,77.4,61,16.5,6,4,5
18,Technician,Yes,LLM-Based,83,46.5,19,6.8,2,8,8
19,Technician,Yes,TraditionalPreprogrammed,62,79.0,63,17.0,7,4,4
20,Technician,Yes,LLM-Based,84,45.5,18,6.5,1,8,9

21,Operator,No,TraditionalPreprogrammed,48,82.5,90,Failed,12,2,2
22,Operator,No,LLM-Based,86,38.5,12,5.0,1,9,10
23,Operator,No,TraditionalPreprogrammed,50,80.8,85,Failed,10,3,2
24,Operator,No,LLM-Based,85,39.2,13,5.2,1,9,9
25,Operator,No,TraditionalPreprogrammed,45,84.2,95,Failed,14,2,1
26,Operator,No,LLM-Based,87,37.8,11,4.8,0,9,10
27,Operator,No,TraditionalPreprogrammed,52,79.5,80,22.5,9,3,3
28,Operator,No,LLM-Based,84,40.5,14,5.5,2,8,9
29,Operator,No,TraditionalPreprogrammed,47,83.0,92,Failed,13,2,2
30,Operator,No,LLM-Based,85,39.8,13,5.3,1,9,9

31,QualityInspector,No,TraditionalPreprogrammed,55,78.2,75,20.5,8,4,3
32,QualityInspector,No,LLM-Based,82,42.5,16,6.0,2,8,8
33,QualityInspector,No,TraditionalPreprogrammed,53,79.8,78,21.2,9,3,3
34,QualityInspector,No,LLM-Based,83,41.8,15,5.8,1,8,9
35,QualityInspector,No,TraditionalPreprogrammed,54,78.5,76,20.8,8,4,3
36,QualityInspector,No,LLM-Based,84,40.2,14,5.5,1,8,9
37,QualityInspector,No,TraditionalPreprogrammed,52,80.2,80,22.0,10,3,2
38,QualityInspector,No,LLM-Based,81,43.5,17,6.2,2,7,8
39,QualityInspector,No,TraditionalPreprogrammed,56,77.5,72,19.5,7,4,4
40,QualityInspector,No,LLM-Based,82,42.0,16,6.0,2,8,8

41,Manager,No,TraditionalPreprogrammed,45,85.0,98,Failed,15,1,1
42,Manager,No,LLM-Based,80,45.5,20,7.0,3,7,8
43,Manager,No,TraditionalPreprogrammed,42,87.5,Failed,Failed,Failed,1,0
44,Manager,No,LLM-Based,78,47.8,22,7.5,3,7,7
45,Manager,No,TraditionalPreprogrammed,44,86.0,100,Failed,16,1,1
46,Manager,No,LLM-Based,79,46.5,21,7.2,3,7,8
47,Manager,No,TraditionalPreprogrammed,43,86.8,Failed,Failed,Failed,1,0
48,Manager,No,LLM-Based,80,45.0,19,6.8,2,8,8
49,Manager,No,TraditionalPreprogrammed,46,84.5,96,Failed,14,2,1
50,Manager,No,LLM-Based,81,44.2,18,6.5,2,8,8
